AAPL,AMZN,GOOGL,FB,GM,AMD,MSFT,MCD,MMM,SHLD,WMT,INTC
174.29,174.29,1254.33,1110.14,187.84,43.0,11.96,87.82,173.51,209.49,3.29,99.67
174.33,174.33,1252.7,1112.79,187.87,44.05,11.82,88.22,173.54,209.64,3.13,100.39
174.35,174.35,1246.87,1114.21,188.28,44.22,12.28,88.28,173.93,209.56,3.42,101.61
175.0,175.0,1229.14,1110.29,186.85,44.01,11.88,88.19,174.05,205.69,3.48,100.13
173.03,173.03,1209.59,1095.76,184.33,44.14,12.12,87.11,173.7,204.46,3.58,99.54
172.23,172.23,1204.2,1091.52,184.67,42.82,11.55,86.35,172.49,202.05,3.76,99.45
172.26,172.26,1189.01,1073.21,181.42,41.8,10.98,85.95,173.22,200.98,3.78,98.59
169.23,169.23,1169.47,1053.4,176.46,40.99,10.28,85.54,172.12,203.56,3.58,98.75
171.08,171.08,1186.1,1055.95,177.92,41.38,10.55,85.72,173.1,204.32,3.6,99.4
170.6,170.6,1182.26,1060.2,177.62,41.31,10.53,85.71,172.67,203.69,3.72,99.26
170.57,170.57,1176.76,1065.85,175.99,41.8,10.46,85.4,171.29,202.92,3.77,99.16
175.01,175.01,1168.36,1068.86,177.2,42.02,10.54,85.51,171.42,202.46,3.76,98.21
175.01,175.01,1174.76,1070.85,177.45,42.16,10.89,85.5,171.85,202.13,3.78,98.06
174.35,174.35,1177.62,1073.56,177.89,42.52,10.98,85.52,172.17,202.12,3.8,98.75
174.54,174.54,1187.38,1079.78,179.51,42.49,10.95,85.83,173.39,202.67,3.86,98.8
176.42,176.42,1190.58,1085.09,180.82,42.15,10.98,86.38,174.2,204.27569084353,3.92,97.9
173.87,173.87,1179.14,1072.0,180.18,40.95,10.3,86.85,174.06,203.37093625058,3.83,97.11
172.22,172.22,1174.26,1057.47,178.39,40.81,10.13,84.69,173.14,202.35681571782,3.87,97.13
172.27,172.27,1164.13,1051.39,178.3,41.4,10.11,85.35,173.55,204.16632490373,4.01,97.76
171.7,171.7,1165.08,1048.77,176.96,41.53,9.9,85.58,172.23,206.72151095195,4.0,96.7
172.67,172.67,1168.92,1051.97,179.04,41.67,10.16,85.23,173.25,205.98577644779,4.25,96.93
169.37,169.37,1162.0,1049.38,179.0,42.02,9.94,84.16,173.15,206.17468125291,4.29,96.55
169.452,169.452,1159.79,1044.57,180.14,42.02,10.04,82.49,172.91,204.79269346808,4.42,96.78
169.01,169.01,1152.35,1032.72,176.06,42.15,10.0,82.78,173.48,205.04125242218,4.14,97.28
169.64,169.64,1141.57,1019.6,172.83,42.8,9.91,81.59,172.99,205.28981137629,4.08,97.83
169.8,169.8,1133.95,1011.87,171.47,43.05,10.03,81.08,170.65,205.24009958547,3.93,97.01
171.05,171.05,1162.35,1025.07,175.1,42.79,10.7201,84.26,172.87,206.24427776006,3.87,97.35
171.85,171.85,1176.75,1036.17,177.18,43.09,10.89,84.17,171.97,206.45306728151,4.08,97.23
169.48,169.48,1161.27,1037.38,175.13,43.81,10.825,83.34,170.43,206.42324020702,4.21,97.56
173.07,173.07,1193.6,1063.29,182.42,44.92,11.17,84.88,171.34,204.22597905271,4.17,96.77
174.09,174.09,1195.83,1072.01,183.03,44.17,11.55,83.87,168.96,202.00883318207,3.9,96.62
174.97,174.97,1186.0,1056.52,182.78,44.46,11.38,83.26,169.11,200.01041919105,3.82,96.62
174.96,174.96,1156.16,1051.92,180.87,44.29,11.37,83.11,169.05,198.56877725723,3.8,96.41
173.14,173.14,1139.49,1050.3,181.86,44.97,11.4,83.72,168.3,198.89687507665,3.89,96.52
169.98,169.98,1126.31,1034.66,178.74,44.88,11.34,82.53,166.93,197.88275454389,4.01,97.48
170.15,170.15,1129.88,1035.89,179.0,43.88,11.38,82.4,166.72,198.24067943781,4.23,97.47
171.1,171.1,1137.29,1048.47,179.59,43.6,11.25,83.2,168.09,208.78952145012,4.57,99.62
169.08,169.08,1126.69,1036.41,177.95,42.86,11.07,82.98,167.32,209.94283499718,4.17,89.83
171.34,171.34,1136.84,1041.64,178.07,43.0,11.12,83.626726618705,168.11,211.22539920037,3.81,91.09
173.97,173.97,1129.17,1041.2,178.77,43.57,11.09,83.507330935252,167.37,210.87741666462,4.12,90.99
174.67,174.67,1125.35,1044.15,178.46,42.66,11.26,83.447633093525,165.59,210.09197036964,4.57,90.92
175.88,175.88,1129.13,1047.72,179.3,42.11,11.12,83.666525179856,167.0,210.45983762172,4.6,90.3
174.81,174.81,1123.17,1052.39,180.25,41.7,12.05,83.845618705036,170.77,210.5493188452,5.0,88.95
174.25,174.25,1120.66,1042.68,180.17,42.14,11.93,84.044611510791,170.07,209.87323849003,5.24,88.7
172.5,172.5,1111.6,1049.99,178.92,42.34,11.12,83.716273381295,168.65,210.08202801148,5.17,89.68
168.11,168.11,1094.22,1042.97,178.92,42.6,10.85,83.626726618705,168.1,208.45148127254,5.43,88.8
166.89,166.89,1103.68,1042.6,182.66,43.13,10.8,82.761107913669,166.37,209.27669700017,5.13,87.94
169.04,169.04,1105.28,1033.04,180.06,42.98,10.985,82.761107913669,166.91,208.38188476539,5.51,87.31
166.72,166.72,1110.85,1033.13,179.87,43.37,10.89,83.467532374101,166.23,206.82093453359,5.64,86.95
163.05,163.05,1100.95,1033.67,177.88,44.64,11.84,83.387935251799,165.39,208.55090485418,5.75,88.17
157.41,157.41,972.43,991.42,170.63,45.25,12.005,78.363366906475,164.01,208.62050136133,6.06,88.62
156.405,156.405,972.91,991.46,170.6,45.13,12.33,78.234021582734,163.55,206.98995462238,5.76,88.52
157.1,157.1,975.9,988.49,171.8,46.48,14.25,78.462863309353,163.88,206.6519144448,5.99,87.98
156.17,156.17,966.3,985.54,171.27,45.15,14.1,78.433014388489,163.34,209.40594765631,6.56,88.65
156.16,156.16,982.91,1005.07,174.98,45.61,13.81,78.413115107914,166.3,208.57078957051,6.55,87.44
155.98,155.98,986.61,1001.84,174.56,45.35,13.95,77.517647482014,166.5,211.384476931,6.06,86.4
159.76,159.76,997.0,1012.74,176.03,45.12,14.07,77.219158273381,165.77,211.67280531777,6.05,86.22
160.47,160.47,1009.13,1011.0,176.11,45.02,14.16,77.199258992806,165.4,210.99672496259,5.79,85.98
159.88,159.88,1006.34,1009.35,174.52,45.76,14.26,77.258956834532,165.01,211.63303588511,5.99,85.74
156.99,156.99,1002.94,1007.87,173.74,45.88,14.22,77.099762589928,165.37,212.13015379332,6.77,86.62
156.0,156.0,1000.93,1005.65,172.55,44.89,14.2,76.731625899281,163.91,212.13015379332,6.2,86.1
156.55,156.55,995.0,1005.65,172.74,45.47,13.88,76.035151079137,163.15,212.01084549535,6.24,85.73
155.9,155.9,987.2,987.8,171.59,45.21,13.7,75.905805755396,160.58,210.07208565331,6.7,84.13
155.84,155.84,990.99,992.31,172.5,45.33,13.47,75.905805755396,160.12,208.79946380829,7.08,80.53
155.3,155.3,989.58,993.64,172.23,44.93,13.23,75.61726618705,159.6,207.9046515735,7.11,79.0
155.39,155.39,980.85,985.19,171.24,43.85,13.34,75.587417266187,158.8,206.19456596924,7.29,79.41
153.4508,153.4508,965.45,966.78,168.42,43.78,13.31,74.313863309353,157.21,205.73721749368,7.19,79.09
154.48,154.48,957.1,972.08,169.96,43.45,13.42,73.886028776978,156.86,204.75292403542,7.08,79.22
153.81,153.81,959.19,967.47,169.47,42.15,12.71,74.23426618705,156.96,203.82828472614,7.08,78.45
154.12,154.12,961.35,973.72,170.81,40.38,12.75,74.114870503597,156.68,204.22597905271,7.3,78.14
153.28,153.28,956.4,964.81,168.73,40.58,12.74,73.497992805755,157.49,205.03131006402,7.59,78.95
154.23,154.23,950.87,959.9,167.68,40.58,12.74,73.47809352518,154.05,205.50854325591,7.28,79.29
153.14,153.14,938.6,937.43,164.21,40.26,12.45,72.891064748201,153.35,203.1720890873,7.16,79.39
150.55,150.55,939.79,934.28,162.87,40.3,12.61,72.891064748201,156.26,203.29139738527,7.14,79.15
151.89,151.89,955.1,943.26,170.54,39.42,13.3,74.035273381295,158.91,201.27309867792,7.11,79.53
153.39,153.39,964.65,947.55,171.11,39.1,13.41,73.83628057554,159.03,199.51330128284,7.05,80.01
156.07,156.07,973.21,947.54,172.17,38.88,13.76,74.562604316547,159.88,198.38981481027,7.21,80.5
158.73,158.73,969.86,936.86,172.52,38.7,13.12,75.060086330935,157.43,196.35163138659,7.26,80.05
158.67,158.67,974.19,929.75,170.01,38.59,13.08,74.781496402878,156.68,196.59024798254,7.52,80.0
159.88,159.88,986.79,935.29,171.58,38.88,12.52,74.930741007194,156.92,197.36575191935,7.65,80.38
158.28,158.28,992.21,940.13,170.96,38.79,12.26,74.393460431655,157.0,194.67137285683,7.58,79.68
159.65,159.65,999.6,950.44,173.05,38.21,12.22,74.831244604317,157.0,194.11460079963,7.69,79.86
160.82,160.82,982.58,946.65,172.96,37.89,12.3,74.303913669065,156.33,193.71690647306,7.62,79.61
161.5,161.5,977.96,943.29,173.51,37.35,12.55,74.383510791367,161.53,195.58968936093,7.52,79.08
158.63,158.63,965.9,941.41,170.95,37.0,12.25,73.607438848921,159.71,195.31297210045,7.63,78.88
161.26,161.26,979.47,949.89,173.21,36.91,12.63,73.965625899281,159.9,194.26539961436,7.89,80.12
161.91,161.91,967.8,942.02,172.09,37.286127648163,12.85,73.03035971223,158.22,194.44328928181,7.73,80.08
162.08,162.08,965.27,941.48,170.72,36.850611423974,12.92,73.239302158273,159.1,194.33457892948,7.54,79.8
164.05,164.05,978.25,951.99,172.02,36.97928667203,13.19,73.56764028777,159.81,195.63910315744,7.85,78.37
164.0,164.0,980.6,955.24,172.0,36.167642799678,13.0,74.393460431655,159.97,196.32101354933,8.21,78.07
163.35,163.35,967.59,943.63,169.92,35.454979887369,12.67,73.637287769784,159.53,197.06222049704,8.29,78.54
162.91,162.91,954.06,935.75,168.05,35.158037007241,12.15,72.682122302158,158.44638499408,197.17093084937,8.46,78.77
161.47,161.47,946.02,928.13,167.24,35.148138911236,12.23,72.463230215827,158.73468623419,195.31297210045,8.62,78.03
159.86,159.86,945.26,930.5,166.32,35.237221775275,12.425,72.45328057554,157.88966535801,194.22586857715,8.52,78.63
159.27,159.27,952.45,936.89,167.74,35.158037007241,12.505,72.323935251799,157.48206705303,192.52603397707,8.55,78.34
159.98,159.98,958.0,942.58,168.71,35.128342719228,12.48,72.353784172662,157.87972393594,193.53407542595,8.57,79.96
159.78,159.78,966.9,940.4,169.64,34.940278895146,12.175,72.791568345324,158.70486196797,193.81079268643,9.03,80.02
157.21,157.21,953.29,920.87,167.78,34.554253150979,12.05,71.786654676259,157.43235994267,192.71380640383,8.55,79.71
157.5,157.5,958.47,926.18,167.41,34.475068382944,12.376,72.124942446043,156.83587461831,192.84228227476,8.65,79.31
157.87,157.87,960.57,927.66,166.91,34.643336015017,12.34,72.035395683453,156.96511310525,191.95283393751,8.2,79.7
160.95,160.95,978.18,944.27,170.0,35.385693215339,12.63,73.279100719424,157.96919673459,189.25484064786,8.55,80.98
161.6,161.6,982.74,938.08,171.0,35.177833199249,13.02,72.85126618705,156.69669470929,188.91882683157,8.63,80.77
159.85,159.85,983.3,938.93,170.75,35.108546527219,12.76,72.831472336707,156.33880351468,187.6044198443,8.61,80.7
157.48,157.48,967.99,930.09,168.08,34.574049342987,12.23,71.752707493019,156.37856920297,187.98984745711,8.88,80.4
155.27,155.27,956.92,923.59,167.4,34.524558862966,12.12,70.673942649331,155.70255250203,188.12820608734,8.75,80.66
160.40914817191,160.40914817191,982.01,940.08,171.18,34.920482703138,12.83,71.723016717505,154.01251074967,186.43825424657,9.35,81.61
159.43310840282,159.43310840282,989.84,944.19,171.23,35.029361759185,13.11,72.039718322991,154.01251074967,187.47594397336,8.87,81.083291524598
155.75801988454,155.75801988454,987.58,945.75,171.98,34.940278895146,13.43,71.653738241305,154.06221786004,187.84160606756,8.59,80.775216755967
154.94133354715,154.94133354715,986.92,945.79,169.62,34.910584607133,13.12,71.930852146105,152.91895432168,187.48582673267,8.33,79.980185094983
156.50498909557,156.50498909557,995.89,940.3,168.59,34.415679806919,13.24,71.406315112019,153.81368230822,187.76254399314,8.67,80.367763029713
149.44364015394,149.44364015394,996.19,947.64,169.25,34.46517028694,13.37,71.515181288904,155.67272823581,187.66371640011,8.14,80.029874573794
148.24848941629,148.24848941629,987.78,946.56,169.86,34.405781710914,13.71,71.831882894391,153.13766560728,188.00961297571,8.48,80.000060886508
148.89586273252,148.89586273252,1020.04,945.5,169.25,35.613349423438,13.61,71.970439846791,154.23122203527,187.9601991792,8.72,79.49322820263
149.95157921745,149.95157921745,1046.0,958.33,172.45,35.405489407348,13.95,72.287141452278,154.93706300243,188.48398542224,9.21,79.314346078909
152.83986016677,152.83986016677,1052.8,952.51,170.44,35.573757039421,14.12,72.405904554335,156.03061943042,189.08683373971,9.3,79.284532391622
152.12276972418,152.12276972418,1039.87,965.31,165.61,35.257017967283,14.76,73.286730894594,155.59319685923,189.0374199432,8.76,78.40999756454
151.47539640795,151.47539640795,1038.95,969.03,165.28,35.207527487262,14.11,73.425287846995,158.13820090983,188.44445438503,8.81,78.032357525572
149.66275112251,149.66275112251,1025.67,998.31,166.0,35.454979887369,14.16,72.841369261879,150.96049417337,188.75081992342,8.4,76.412480516318
149.73246824888,149.73246824888,1028.7,993.84,164.43,35.702432287477,13.88,73.029410840136,153.01836854241,188.19738540246,8.83,75.677076229907
150.40972033355,150.40972033355,1026.87,992.19,164.53,36.038967551622,13.8,73.474772472852,153.30666978251,189.26472340716,9.6,75.547883584998
149.47351892239,149.47351892239,1024.38,992.77,164.14,36.098356127648,13.55,73.098689316337,152.98854427619,189.88733724324,8.68,75.398815148563
148.9556202694,148.9556202694,1010.04,986.95,162.86,36.058763743631,13.48,72.544461506735,153.0581342307,189.96639931766,9.01,75.726765708719
148.43772161642,148.43772161642,1001.81,975.96,159.73,36.00927326361,13.8,72.593946132593,154.35051910014,189.87745448393,9.04,75.895709936678
147.17285375241,147.17285375241,999.855,976.91,159.97,35.979578975597,13.92,72.02982139782,154.37040194429,190.74713730258,8.06,75.865896249391
145.15105708788,145.15105708788,1006.51,968.7175,159.26,35.494572271386,13.53,71.030231955503,154.13180781454,190.1047579479,8.19,74.583907696055
144.94190570879,144.94190570879,994.13,967.66,158.9,35.138240815232,14.29,70.416622594873,155.66278681373,188.07879229083,7.64,73.480801266439
144.47380500321,144.47380500321,996.47,953.53,155.27,35.039259855189,13.89,69.268579274985,154.0025693276,188.95835786878,7.6,73.013720165611
143.59736112893,143.59736112893,978.76,951.0,153.5,34.831399839099,13.81,69.258682349814,154.60899607403,188.09855780944,7.46,72.775210667316
142.15322065427,142.15322065427,965.14,940.81,151.44,34.583947438992,13.36,68.744042240898,155.35460272948,189.27460616646,7.78,74.862168777399
143.5077248236,143.5077248236,971.4,927.69,148.82,34.514660766962,13.02,67.863215900639,152.19323051038,188.96824062808,7.93,75.001299318071
142.92010904426,142.92010904426,953.66,932.26,150.34,34.653234111022,13.19,68.367959084383,152.17334766623,187.67359915942,8.69,74.852230881637
143.43800769724,143.43800769724,968.0,919.46,148.43,35.207527487262,12.15,67.467338893781,151.60668660809,187.28817154661,9.19,74.891982464686
143.09938165491,143.09938165491,975.93,929.68,150.98,34.574049342987,12.48,68.219505206811,152.26282046488,186.87309565589,8.86,75.209995129079
145.2406933932,145.2406933932,990.33,937.82,151.04,34.504762670957,12.6,67.784040499267,152.23299619867,186.68532322914,8.5,75.458442523137
143.15913919179,143.15913919179,976.78,961.01,153.24,34.227615982837,13.23,69.080537696728,153.39614258117,187.09051636055,8.01,76.03484047735
145.23073380372,145.23073380372,993.98,948.09,150.58,33.861386430678,13.395,68.496619111612,152.81954010095,187.66371640011,7.72,75.537945689235
145.75859204618,145.75859204618,1003.74,972.09,153.59,34.168227406811,14.08,69.803013234243,153.0581342307,187.63406812221,7.36,75.031113005358
145.04150160359,145.04150160359,1001.3,986.09,155.07,33.851488334674,14.15,70.476004145902,153.73415093164,184.16521960694,6.95,74.375211885046
145.28053175112,145.28053175112,1002.23,976.62,153.4,33.84159023867,14.3708,69.535796254614,153.8932136848,184.71865412789,6.82,75.050988796883
144.4240070558,144.4240070558,992.59,978.59,153.91,33.782201662644,13.98,69.545693179786,152.82948152303,185.21279209303,6.43,75.766517291768
145.7486324567,145.7486324567,995.17,968.99,152.25,34.04945025476,12.64,69.189403873614,153.1674898735,184.99537138837,6.8,75.070864588407
141.69507953817,141.69507953817,987.71,975.22,152.87,33.999959774739,11.93,70.139508690073,152.24293762074,183.85885406855,6.37,75.031113005358
143.70691661321,143.70691661321,964.17,958.62,150.64,33.940571198713,11.44,69.278476200157,151.09967408238,181.22015733472,6.67,74.772727715538
144.57340089801,144.57340089801,976.47,960.18,149.8,34.247412174846,11.5,69.179506948442,150.28447747242,180.805081444,6.86,78.419935460302
145.99762219371,145.99762219371,980.79,967.93,150.25,34.25731027085,11.76,69.545693179786,149.79734779086,181.25968837193,7.02,79.40378714077
144.7327543297,144.7327543297,964.83,970.5,150.68,34.158329310807,11.96,69.921776336301,148.94238549262,179.56973653115,6.85,79.026147101802
148.37796407954,148.37796407954,978.31,961.81,148.44,34.32659694288,12.085,69.060743846385,147.60029351281,178.31778074673,7.03,78.747886020458
154.36367735728,154.36367735728,1009.94,970.12,149.63,33.990061678734,12.28,69.595177805643,150.59266155668,177.74826360557,7.06,78.926768144179
154.74214175754,154.74214175754,1010.07,1004.28,154.71,33.762405470636,12.9,71.203428146004,150.54295444631,175.7647728726,6.9,78.439811251827
153.82585952534,153.82585952534,1002.97,1001.59,153.12,33.990061678734,12.38,71.643841316133,151.04996697202,174.95959346614,7.02,78.658444958597
153.30796087235,153.30796087235,1011.34,996.68,152.81,33.706158513791,12.02,71.772501343362,150.34412600486,173.86965548911,6.61,78.439811251827
154.82181847338,154.82181847338,1006.73,1003.88,153.63,33.735527806716,11.24,71.534975139247,151.8949878482,172.58333229099,6.78,79.761551388212
152.56099166132,152.56099166132,995.95,996.12,153.61,33.725738042408,10.9,71.020335030332,152.8394229451,171.93526106141,7.2,79.125526059425
152.14268890314,152.14268890314,994.62,988.29,151.53,33.706158513791,10.93,69.377445451871,151.49733096529,171.87634549508,7.55,79.314346078909
153.04901154586,153.04901154586,996.7,987.09,151.46,33.216670298371,11.1801,69.120125397413,149.08649494132,171.03188904441,7.39,78.111860691671
152.98925400898,152.98925400898,995.78,996.17,152.38,32.825079726036,11.12,69.684250132186,148.13796929254,172.00399588879,7.39,77.664655382367
153.24820333547,153.24820333547,993.38,993.27,152.13,32.37475056785,11.0,69.248785424642,148.06880596399,171.66032175189,7.78,77.644779590843
152.72034509301,152.72034509301,980.35,991.86,151.96,31.914631645355,10.98,68.902393043641,147.98976215992,172.24947741515,8.48,77.823661714564
153.17848620911,153.17848620911,971.54,977.61,150.04,32.502017503859,10.89,68.061154404068,147.7131088457,174.27224519234,7.47,77.664655382367
153.36771840924,153.36771840924,970.7,970.55,148.07,32.521597032476,10.89,67.972082077525,146.05318896034,173.62417396275,7.78,78.002543838285
152.34188069275,152.34188069275,959.84,964.07,148.24,32.227904103224,11.035,67.744452798582,146.41876655414,173.53580061327,7.85,78.062171212859
151.92357793457,151.92357793457,958.49,954.65,148.06,32.032108817056,11.4,66.992286485551,146.37924465211,172.78953677314,7.84,78.28080491963
149.64283194355,149.64283194355,944.52,950.5,147.66,31.787364709346,11.28,67.012080335894,145.25287044419,175.28362908094,7.72,77.058443740867
154.84173765234,154.84173765234,966.07,942.17,144.85,31.738415887804,11.2,66.784451056951,144.6600419137,175.26399055883,7.96,74.653472966391
155.07080821039,155.07080821039,957.97,964.61,149.78,32.717392318643,12.75,68.694557615041,145.52952375841,175.45055651886,8.32,74.643535070628
155.46919178961,155.46919178961,961.35,959.22,150.19,33.108982890979,11.42,67.34625469337,144.5315957321,175.26399055883,8.31,75.81620677058
153.32788005131,153.32788005131,947.62,955.14,150.33,32.913187604811,11.26,67.297046557543,143.62259198535,174.05622144914,9.49,75.239808816366
152.01857223874,152.01857223874,948.95,955.89,150.04,33.392886055922,11.07,67.375779574867,142.48633730193,174.18387184285,10.16,75.657200438383
152.71290213935,152.71290213935,952.82,954.84,150.29,33.510363227623,10.79,68.212317883933,142.79263204268,174.23296814812,11.24,76.223660496834
151.76067827566,151.76067827566,949.04,956.71,150.48,33.539732520548,10.18,67.946593950465,142.63454443455,174.67483489557,10.52,75.739920131034
147.75340284929,147.75340284929,934.15,958.69,151.06,33.255829355605,10.04,67.84817767881,142.51597872845,173.38851169745,10.55,75.147584989237
145.34308619433,145.34308619433,937.53,950.28,150.24,33.060034069437,10.19,67.907227441803,142.23932541422,174.0660407102,10.76,75.522730579041
145.86879311907,145.86879311907,941.03,954.72,150.85,32.453068682317,10.1,67.720236525659,141.73542116331,175.00868977142,10.38,75.364774541229
146.31514805518,146.31514805518,946.68,948.45,151.8,32.776130904494,10.39,67.985960459127,140.91534169614,174.49808819659,10.43,74.792183904159
145.41251918439,145.41251918439,948.43,937.09,152.78,32.502017503859,10.3,68.202476256767,139.54195560052,175.0970631209,10.71,74.555249847441
142.48641460326,142.48641460326,924.99,932.82,152.46,33.480993934698,13.615,68.310734155587,139.46291179646,174.83194307244,10.22,74.268954528906
142.62528058338,142.62528058338,918.76,924.52,150.25,33.911743564267,13.3,67.375779574867,138.25749378447,175.34254464726,10.22,74.219593267089
142.48720812314,142.48720812314,909.29,891.44,147.7,33.813845921183,13.63,67.188788658723,139.18625848223,175.18543647039,10.46,74.476271828534
143.36920547689,143.36920547689,907.62,889.14,146.56,33.657209692249,13.41,66.755757063442,139.15661705571,174.8614008556,10.83,74.466399576171
142.47649560468,142.47649560468,907.41,888.84,146.49,33.275408884222,13.49,66.844331707931,140.0063379494,175.68621878416,11.28,74.091253986367
141.1175927992,141.1175927992,898.53,878.93,145.47,33.197090769755,13.13,66.460508248477,132.62562274487,175.51929134624,12.45,73.824703172558
141.28621577506,141.28621577506,902.06,858.95,143.68,33.04045454082,13.0,65.348404378778,131.81542375321,175.96115809369,13.39,73.982659210371
139.54047202496,139.54047202496,899.2,860.08,143.8,33.383096291614,13.11,64.462657933885,131.67709709609,175.2050749925,13.64,73.844447677285
140.05625995113,140.05625995113,903.78,856.51,142.27,33.079613598054,12.84,64.009943084273,131.05462713909,175.4210987357,13.96,73.123773254766
140.68115686168,140.68115686168,901.99,853.99,140.96,32.98171595497,12.95,64.354400035065,130.71869097181,174.93995494404,13.99,72.946072712227
